"","Lake","Experiment","Exp_day","Enclosure","Treatment","Replicate","initial_zoop_body_size"
"1","Bolmen","Spring",1,1,"C","1",0.432595948361962
"2","Bolmen","Spring",1,2,"F","1",0.494120812361924
"3","Bolmen","Spring",1,3,"S","1",0.566780615310866
"4","Bolmen","Spring",1,4,"FS","1",0.52371872980934
"5","Bolmen","Spring",1,5,"S","2",0.368877470955017
"6","Bolmen","Spring",1,6,"FS","2",0.500697823006523
"7","Bolmen","Spring",1,7,"C","2",0.54473961029485
"8","Bolmen","Spring",1,8,"F","2",0.508047016700152
"9","Bolmen","Spring",1,9,"FS","3",0.50837410577888
"10","Bolmen","Spring",1,10,"C","3",0.473476381010344
"11","Bolmen","Spring",1,11,"F","3",0.605276529142228
"12","Bolmen","Spring",1,12,"S","3",0.414647603433318
"13","Bolmen","Spring",1,13,"F","4",0.563886729282265
"14","Bolmen","Spring",1,14,"S","4",0.471762389632378
"15","Bolmen","Spring",1,15,"FS","4",0.539036119948493
"16","Bolmen","Spring",1,16,"C","4",0.55312109650989
"97","Bolmen","Summer",1,1,"C","1",0.588220882324738
"98","Bolmen","Summer",1,2,"F","1",0.49863543926049
"99","Bolmen","Summer",1,3,"S","1",0.774799883493498
"100","Bolmen","Summer",1,4,"FS","1",0.554660459260463
"101","Bolmen","Summer",1,5,"S","2",0.650950050615241
"102","Bolmen","Summer",1,6,"FS","2",1.00830681516165
"103","Bolmen","Summer",1,7,"C","2",0.626602591606423
"104","Bolmen","Summer",1,8,"F","2",0.540277783208896
"105","Bolmen","Summer",1,9,"FS","3",0.568994134662123
"106","Bolmen","Summer",1,10,"C","3",0.703036130380548
"107","Bolmen","Summer",1,11,"F","3",0.455441285591797
"108","Bolmen","Summer",1,12,"S","3",0.512670900319425
"109","Bolmen","Summer",1,13,"F","4",0.514007557893867
"110","Bolmen","Summer",1,14,"S","4",0.610532887987733
"111","Bolmen","Summer",1,15,"FS","4",0.401953974504054
"112","Bolmen","Summer",1,16,"C","4",0.591010401087488
"193","Erken","Spring",1,1,"C","1",0.567248732913431
"194","Erken","Spring",1,2,"F","1",0.58299713201241
"195","Erken","Spring",1,3,"S","1",0.583726066821859
"196","Erken","Spring",1,4,"FS","1",0.486238115005923
"197","Erken","Spring",1,5,"S","2",0.439427266877295
"198","Erken","Spring",1,6,"FS","2",0.401603214817236
