Lake;Experiment;TP ;Chla ;DOC;Temperature;Chla_flu;PAR_I;PAR_II;PAR_III;TN
Svartberget;1;15.05;0.61074;17.73;;;;;;0.3767
Svartberget;1;13.03;0.4266;18.45;;;;;;0.3581
Svartberget;1;12.94;0.61074;18.48;;;;;;0.3022
Svartberget;1;13.97;0.31995;18.97;;;;;;0.3565
Svartberget;1;12.54;0.51867;18.83;;;;;;0.3517
Svartberget;1;12.71;0.51939;17.67;;;;;;0.3118
Svartberget;1;12.44;0.51939;18.75;;;;;;0.3032
Svartberget;1;11.47;0.41202;19.15;;;;;;0.298
Svartberget;1;12.44;0.22788;18.79;;;;;;0.3535
Svartberget;1;12.34;0.4266;NA;;;;;;0.3303
Svartberget;1;13.31;0.4266;18.98;;;;;;0.3539
Svartberget;1;12.37;0.61074;18.85;;;;;;0.35
Svartberget;1;12.16;0.41274;NA;;;;;;0.2858
Svartberget;1;14.75;0.21402;18.77;;;;;;0.3511
Svartberget;1;12.82;0.51867;NA;;;;;;0.3124
Svartberget;1;13.12;0.22788;19.28;;;;;;0.3076
Svartberget;1;11.62;0.2133;19.41;;;;;;0.3496
Svartberget;1;12.67;0.12123;NA;;;;;;0.334
Svartberget;1;13.16;0.2133;NA;;;;;;0.3449
Svartberget;1;12.17;0.12123;NA;;;;;;0.3297
Svartberget;1;12.49;0.2133;NA;;;;;;0.3466
Svartberget;1;11.92;0.2133;NA;;;;;;0.3269
Svartberget;1;12.8;0.30537;NA;;;;;;0.3444
Svartberget;1;12.41;0.19872;NA;;;;;;0.3179
Svartberget;1;13.25;0.2133;NA;;;;;;0.3478
Svartberget;1;17.76;0.2133;NA;;;;;;0.3885
Svartberget;1;12.56;0.30537;NA;;;;;;0.3179
Svartberget;1;13.41;0.31995;NA;;;;;;0.3413
Svartberget;1;11.67;0.2133;NA;;;;;;0.3279
Svartberget;1;12.63;0.21402;NA;;;;;;0.3667
Svartberget;1;12.2;0.30537;NA;;;;;;0.3034
Svartberget;1;15.7;0.30609;NA;;;;;;0.3709
Svartberget;1;12.16;0.01458;NA;;;;;;0.3233
Svartberget;1;11.25;NA;NA;;;;;;0.3025
Svartberget;1;13.04;0.29079;NA;;;;;;0.393
Svartberget;1;12.64;0.10665;NA;;;;;;0.3808
Svartberget;1;16.15;0.19872;NA;;;;;;0.3642
Svartberget;1;14.69;0.10665;NA;;;;;;0.3517
Svartberget;1;13.09;0.29079;NA;;;;;;0.3419
Svartberget;1;15.58;0.39744;NA;;;;;;0.3923
Svartberget;1;13.17;0.29007;NA;;;;;;0.3494
Svartberget;1;15.67;0.39744;NA;;;;;;0.3574
Svartberget;1;14.94;0.30537;NA;;;;;;0.3535
Svartberget;1;11.78;0.29007;NA;;;;;;0.3163
Svartberget;1;14.23;0.30537;NA;;;;;;0.3701
Svartberget;1;12.3;0.30537;NA;;;;;;0.3251
Svartberget;1;14.73;0.39744;NA;;;;;;0.3602
Svartberget;1;12.33;0.10665;NA;;;;;;0.309
Svartberget;1;15.6;0.30465;NA;;;;;;0.3554
Svartberget;1;12.32;0.10665;NA;;;;;;0.3451
Svartberget;1;9.26;0.19872;NA;;;;;;0.276
Svartberget;1;12.6;0.198;NA;;;;;;0.3569
Svartberget;1;15.17;0.18414;NA;;;;;;0.3878
Svartberget;1;12.54;0.18414;NA;;;;;;0.3426
Svartberget;1;14.37;0.19872;NA;;;;;;0.3329
Svartberget;1;12.11;0.10665;NA;;;;;;0.3437
Svartberget;1;14.35;0.19872;NA;;;;;;0.3802
Svartberget;1;12.88;0.09207;NA;;;;;;0.3688
Svartberget;1;14.44;0.29079;NA;;;;;;0.384
Svartberget;1;14.83;0.18414;NA;;;;;;0.4019
Svartberget;1;15.53;0.09207;NA;;;;;;0.3361
Svartberget;1;14.25;0.19872;NA;;;;;;0.375
Svartberget;1;14.74;0.19872;NA;;;;;;0.3812
Svartberget;1;15.62;0.19872;NA;;;;;;0.4744
Svartberget;1;13.24;0.10665;NA;;;;;;0.3614
Svartberget;1;15.33;0.38286;NA;;;;;;0.4202
Svartberget;1;17.22;0.19872;NA;;;;;;0.3422
Svartberget;1;12.88;0.19872;NA;;;;;;0.3198
Svartberget;1;13.35;0.19872;NA;;;;;;NA
Svartberget;1;17.03;0.2133;NA;;;;;;0.2727
Svartberget;1;14.85;0.19944;NA;;;;;;0.2851
Svartberget;1;14.81;0.10665;NA;;;;;;0.3231
Svartberget;1;12.08;0.10665;NA;;;;;;0.2236
Svartberget;1;14.46;0.10665;NA;;;;;;NA
Svartberget;1;11.93;0.10665;NA;;;;;;NA
Svartberget;1;16.54;0.10665;NA;;;;;;NA
Svartberget;1;17.02;0.10737;NA;;;;;;NA
Svartberget;1;12.12;0.10665;NA;;;;;;NA
Svartberget;1;14.22;0.10737;NA;;;;;;0.2776
Svartberget;1;14.76;0.0153;NA;;;;;;0.2731
Svartberget;1;16.13;0.10665;NA;;;;;;0.2969
Svartberget;1;13.82;0.10665;NA;;;;;;NA
Svartberget;1;14.85;0.19872;NA;;;;;;0.2852
Svartberget;1;13.42;0.2133;NA;;;;;;0.2735
Svartberget;1;9.86;0.19944;NA;;;;;;0.1985
Svartberget;1;14.2;0.10737;16.58;;;;;;0.2922
Svartberget;1;12.94;0.12195;16.35;;;;;;0.2596
Svartberget;1;12.95;0.00072;16. Mär;;;;;;0.2128
Svartberget;1;13.53;0.01458;15.67;;;;;;0.2046
Svartberget;1;9.75;0.00072;15.87;;;;;;0.2194
Svartberget;1;13.34;0.2133;15. Jun;;;;;;0.2366
Svartberget;1;11.98;0.10665;16. Aug;;;;;;0.27
Svartberget;1;13.15;0.10737;16. Aug;;;;;;0.2637
Svartberget;1;11.17;0.01458;15.63;;;;;;0.2427
Svartberget;1;12.13;0.19872;16.32;;;;;;0.2537
Svartberget;1;12.26;0.2133;15.74;;;;;;NA
Svartberget;1;11.97;NA;16.29;;;;;;NA
Svartberget;1;12.22;0.2133;15.63;;;;;;0.2318
Svartberget;1;11.7;0.00072;15.85;;;;;;0.2432
Svartberget;1;11.91;0.10665;15.56;;;;;;0.2417
Svartberget;1;12.01;0.10665;16.23;;;;;;0.2906
Svartberget;1;12.22;0.10737;17.65;;;;;;0.2846
Svartberget;2;11.31;0.10665;19.55;;;100;62;21;0.415884049016579
Svartberget;2;11.06;0.10665;19.49;;;45;25;7;0.401467408093914
Svartberget;2;10.65;0.10665;19.45;;;65;41;16;0.406410256410256
Svartberget;2;10.92;0.10665;19.61;;;52;35;10;0.396627535784162
Svartberget;2;10.36;0.19944;19.35;;;77;42;13;0.400849552054371
Svartberget;2;11.41;0.10737;19.61;;;48;31;10;0.418149521161569
Svartberget;2;11.69;0.10737;19.46;;;113;68;29;0.389779631345896
Svartberget;2;11.47;0.29151;19.55;;;;;;0.40280609617959
Svartberget;2;12.9;0.19872;19. Jun;;;;;;0.393641231593039
Svartberget;2;12.87;0.19944;19. Jun;;;;;;0.401312944084028
Svartberget;2;15.11;0.30537;20. Feb;;;;;;0.393332303573267
Svartberget;2;10.09;0.2133;19.64;;;;;;0.405277520337761
Svartberget;2;12.38;0.2133;19.18;;;;;;0.41264030480898
Svartberget;2;9.91;0.19944;19. Nov;;;;;;0.408109360518999
Svartberget;2;12.84;0.19944;19.18;;;;;;0.397296879827
Svartberget;2;10.57;0.10665;19.28;;;;;;0.408675728555247
Svartberget;2;11.5;0.10665;21.17;;;;;;0.397399855833591
Svartberget;2;10.97;0.10665;NA;;;;;;0.340763052208835
Svartberget;2;11.9;0.10737;NA;;;;;;0.376392750489136
Svartberget;2;10.65;0.00072;NA;;;;;;0.376032334466069
Svartberget;2;11.71;0.10737;NA;;;;;;0.392354031510658
Svartberget;2;10,00;0.10737;NA;;;;;;0.400695088044486
Svartberget;2;10.59;0.19944;NA;;;;;;0.404505200288333
Svartberget;2;12.88;0.10665;NA;;;;;;0.391736175471115
Svartberget;2;11.5;0.10665;NA;;;;;;0.394670991658943
Svartberget;2;10.55;0.10665;NA;;;;;;0.363057357635671
Svartberget;2;10.97;0.2133;NA;;;;;;0.323617547111523
Svartberget;2;10.12;0.10665;NA;;;;;;0.375568942436412
Svartberget;2;8.43;0.2133;NA;;;;;;0.398635567912676
Svartberget;2;14.7;0.19944;NA;;;;;;0.395391823705077
Svartberget;2;10.66;0.19944;NA;;;;;;0.390294511378849
Svartberget;2;11.76;0.30537;NA;;;;;;0.412537328802389
Svartberget;2;9.08;0.19944;NA;;;;;;0.388492431263516
Svartberget;2;8.47;0.09279;NA;;;;;;0.408521264545361
Svartberget;2;11.58;0.10665;NA;;;74;42;14;0.408469776542066
Svartberget;2;13.08;0.10665;NA;;;;;;0.408830192565132
Svartberget;2;10.39;0.19872;NA;;;32;17;6;0.377576974564926
Svartberget;2;12.93;0.2133;NA;;;20;12;2;0.420826897332921
Svartberget;2;11.14;0.10737;NA;;;32;16;6;0.405740912367418
Svartberget;2;12.28;0.12123;NA;;;31;16;5;0.414442384924313
Svartberget;2;10.95;0.10737;NA;;;60;40;15;0.387102255174544
Svartberget;2;13.63;0.01458;NA;;;57;36;10;0.421650705385645
Svartberget;2;12.79;0.2133;NA;;;42;28;10;0.409036144578313
Svartberget;2;12.19;0.10737;NA;;;60;37;14;0.382365358871383
Svartberget;2;12.59;0.12123;NA;;;62;41;16;0.384321902996602
Svartberget;2;10.58;0.10665;NA;;;42;24;6;0.396576047780867
Svartberget;2;13.28;0.12195;NA;;;;;;0.434265266192977
Svartberget;2;9.62;0.01458;NA;;;;;;0.390037071362373
