Lake,Experiment,Treatment,Enclosure,community,ID,mean_J,mean_s,mean_ENS_D,final_stab,initial_stab,rate_change_ort,rate_change_oti,total_impact,mean_biomass,initial_zoop_body_size,mean_TP,mean_TN,mean_DOC,mean_PAR,mean_Temp,mean_Chla,mean_TN_TP_ratio,mean_DN_TP_ratio
Bolmen,Spring,C,1,bact,Bolmen_Spring_C_1_bact,0.6620433618260958,52.625,6.962708148963378,NA,NA,NA,NA,NA,NA,NA,18.576666666666668,0.45106666666666667,10.43,230,17.033333333333335,2.02392,0.02463245886351314,0.015064900945075819
Bolmen,Spring,C,1,phyto,Bolmen_Spring_C_1_phyto,0.6844674927711937,55.666666666666664,7.390872034618758,NA,NA,NA,NA,NA,10512070.555218032,NA,18.576666666666668,0.45106666666666667,10.43,230,17.033333333333335,2.02392,0.02463245886351314,0.015064900945075819
Bolmen,Spring,C,1,zoopl,Bolmen_Spring_C_1_zoopl,0.5480214903291377,9.166666666666666,2.779611122075127,NA,NA,NA,NA,NA,38.37530284681372,0.432595948361962,18.576666666666668,0.45106666666666667,10.43,230,17.033333333333335,2.02392,0.02463245886351314,0.015064900945075819
Bolmen,Spring,C,10,bact,Bolmen_Spring_C_10_bact,0.6692209180994432,58.875,7.212729180252916,NA,NA,NA,NA,NA,NA,NA,15.255,0.3394333333333333,9.2925,233.83333333333334,17.3,2.072265,0.022552177591293635,0.011655919090543528
Bolmen,Spring,C,10,phyto,Bolmen_Spring_C_10_phyto,0.726742631013557,63.666666666666664,9.99810288842581,NA,NA,NA,NA,NA,9352177.307002967,NA,15.255,0.3394333333333333,9.2925,233.83333333333334,17.3,2.072265,0.022552177591293635,0.011655919090543528
Bolmen,Spring,C,10,zoopl,Bolmen_Spring_C_10_zoopl,0.5722547752154294,8.666666666666666,3.0031693181255315,NA,NA,NA,NA,NA,27.205516860117147,0.473476381010344,15.255,0.3394333333333333,9.2925,233.83333333333334,17.3,2.072265,0.022552177591293635,0.011655919090543528
Bolmen,Spring,C,16,bact,Bolmen_Spring_C_16_bact,0.7053394798695289,58.666666666666664,7.874372559784029,NA,NA,NA,NA,NA,NA,NA,13.636666666666667,0.34353333333333336,9.946000000000002,240.5,17.375,1.839945,0.02523669787485129,0.016448189131097066
Bolmen,Spring,C,16,phyto,Bolmen_Spring_C_16_phyto,0.7398386687287833,58.666666666666664,10.451409450688264,NA,NA,NA,NA,NA,6420148.176107537,NA,13.636666666666667,0.34353333333333336,9.946000000000002,240.5,17.375,1.839945,0.02523669787485129,0.016448189131097066
Bolmen,Spring,C,16,zoopl,Bolmen_Spring_C_16_zoopl,0.6478638739652721,10.5,3.93650723062732,NA,NA,NA,NA,NA,38.22928390413804,0.55312109650989,13.636666666666667,0.34353333333333336,9.946000000000002,240.5,17.375,1.839945,0.02523669787485129,0.016448189131097066
Bolmen,Spring,C,7,bact,Bolmen_Spring_C_7_bact,0.6321414662689063,52.958333333333336,5.970785383129271,NA,NA,NA,NA,NA,NA,NA,14.135,0.34686666666666666,10.265,200.5,17.25,1.667295,0.02462248013342956,0.014421426534400705
