Lake;Experiment;Sampling ;Exp_day;Sampling_day ;Sampling_month;Enclosure;Treatment;Replicate;TP ;Chla ;TOC ;TN;PP;PN;PC;DOC;DN;PO4;NO3;NH4;Temperature;DO_%;DO_conc;pH;EC;Chla_flu;PAR_I;PAR_II;PAR_III;Fish_W_I;Fish_L_I;Fish_W_II;Fish_L_II;;;;;
Svartberget;1;0;1;5;6;1;C;1;15.05;0.61074;19.29;0.3767;NA;NA;NA;17.73;0.1957;<2.0;16.1239028275587;3.382;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;2;F;1;13.03;0.4266;19.44;0.3581;NA;NA;NA;18.45;0.1754;<2.0;18.6758741537236;4.25;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;3;S;1;12.94;0.61074;19.38;0.3022;NA;NA;NA;18.48;0.1539;<2.0;14.4640063719634;2.595;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;4;FS;1;13.97;0.31995;19.65;0.3565;NA;NA;NA;18.97;0.1575;2.009;11.8100836320191;2.606;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;5;S;2;12.54;0.51867;19.41;0.3517;NA;NA;NA;18.83;0.1369;<2.0;12.7802150537634;1.962;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;6;FS;2;12.71;0.51939;19.49;0.3118;NA;NA;NA;17.67;0.1305;2.352;11.8451294305058;1.674;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;7;C;2;12.44;0.51939;19.24;0.3032;NA;NA;NA;18.75;0.1636;1.965;15.2190840302668;2.198;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;8;F;2;11.47;0.41202;19.76;0.298;NA;NA;NA;19.15;0.1096;<2.0;12.6559617682198;4.305;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;9;FS;3;12.44;0.22788;19.23;0.3535;NA;NA;NA;18.79;0.1243;<2.0;14.1708960573477;<1.4;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;10;C;3;12.34;0.4266;19.51;0.3303;NA;NA;NA;NA;NA;1.914;14.6519792911191;5.131;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;11;F;3;13.31;0.4266;19.74;0.3539;NA;NA;NA;18.98;0.1522;1.85;16.6702986857826;3.151;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;12;S;3;12.37;0.61074;19.65;0.35;NA;NA;NA;18.85;0.1479;<2.0;15.5185663082437;2.8;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;13;F;4;12.16;0.41274;18.98;0.2858;NA;NA;NA;NA;NA;<2.0;16.1828434886499;1.733;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;14;S;4;14.75;0.21402;19.52;0.3511;NA;NA;NA;18.77;0.1417;2.099;14.9944723217842;3.675;;;;;;;;;;;;;;;;;;
Svartberget;1;0;1;5;6;15;FS;4;12.82;0.51867;18.97;0.3124;NA;NA;NA;NA;NA;1.917;18.6280844285145;1.851;;;;;;;;;;;;;;;;;;
